X[m]	Y[m]	Z[m]	WSS[Pa]
1.332000	9.364000	-14.140000	30.172800
1.465000	9.228000	-14.225000	29.932200
1.151000	9.263000	-14.225000	26.411400
1.642000	9.149000	-14.178000	16.129300
1.804000	9.138000	-14.168000	9.938710
1.746000	9.260000	-14.132000	23.341600
1.608000	9.299000	-14.139000	30.653600
1.944000	9.313000	-14.143000	23.888100
1.732000	9.399000	-14.033000	32.304700
0.420000	12.807000	-9.566000	1.252470
0.226000	12.822000	-9.582000	1.484920
0.302000	12.685000	-9.526000	1.358190
0.450000	12.649000	-9.512000	1.215130
0.169000	12.974000	-9.656000	1.473280
0.079000	12.877000	-9.611000	1.541210
0.352000	12.569000	-9.486000	1.251260
0.080000	12.771000	-9.565000	1.504960
0.149000	12.670000	-9.526000	1.446510
-0.018000	12.978000	-9.675000	1.553090
0.339000	12.952000	-9.632000	1.302370
0.551000	12.720000	-9.540000	1.103450
0.111000	13.104000	-9.743000	1.511760
-0.056000	13.124000	-9.784000	1.623720
0.509000	12.947000	-9.624000	1.120130
-0.262000	13.438000	-11.469000	3.099130
-0.220000	13.439000	-11.625000	2.799190
-0.329000	13.367000	-11.558000	2.989850
-0.058000	12.814000	-9.588000	1.493450
-0.002000	12.668000	-9.528000	1.451160
0.223000	12.550000	-9.485000	1.359490
-0.182000	13.028000	-9.717000	1.515210
-0.217000	13.140000	-9.815000	1.614640
-0.348000	13.335000	-11.681000	2.450380
-0.259000	13.400000	-11.788000	2.217200
-0.131000	13.487000	-11.752000	2.447340
-0.111000	13.249000	-9.911000	1.770970
0.464000	12.498000	-9.485000	1.253600
-0.383000	13.345000	-11.441000	3.138080
0.281000	13.087000	-9.712000	1.332070
0.444000	13.069000	-9.692000	1.188380
-0.152000	13.513000	-11.502000	2.892090
-0.075000	13.539000	-11.608000	2.618010
0.070000	13.222000	-9.861000	1.713510
0.601000	12.580000	-9.517000	1.108700
0.590000	12.403000	-9.497000	1.247890
0.704000	12.483000	-9.527000	1.065940
0.600000	12.833000	-9.584000	1.023360
0.599000	13.050000	-9.696000	1.125080
-0.313000	13.430000	-11.328000	3.194160
-0.447000	13.332000	-11.304000	3.164680
-0.228000	13.513000	-11.223000	3.034470
-0.374000	13.422000	-11.176000	3.121200
-0.270000	13.506000	-11.103000	2.904820
-0.353000	13.466000	-11.041000	2.903030
-0.249000	13.535000	-10.966000	2.730630
-0.185000	12.898000	-9.639000	1.488110
0.063000	12.521000	-9.483000	1.420920
-0.096000	12.550000	-9.503000	1.467200
-0.146000	12.679000	-9.543000	1.484800
0.325000	12.442000	-9.465000	1.357940
0.439000	12.346000	-9.466000	1.374080
-0.289000	13.209000	-9.919000	1.826800
-0.236000	13.290000	-10.004000	1.874040
-0.119000	13.357000	-10.067000	1.939690
-0.434000	13.269000	-11.568000	2.699810
-0.391000	13.456000	-10.922000	2.820220
-0.312000	13.506000	-10.835000	2.678910
0.546000	12.244000	-9.475000	1.337940
0.662000	12.280000	-9.501000	1.244110
-0.315000	13.051000	-9.756000	1.438830
-0.385000	13.303000	-11.827000	1.707230
-0.163000	13.446000	-11.905000	2.151670
-0.300000	13.350000	-10.114000	1.937330
-0.175000	13.520000	-11.367000	3.021410
0.239000	13.201000	-9.821000	1.567820
0.401000	13.185000	-9.787000	1.358980
0.552000	13.163000	-9.765000	1.210750
0.044000	13.327000	-9.990000	1.870780
0.742000	12.365000	-9.526000	1.106290
-0.147000	13.577000	-11.100000	2.756810
0.008000	13.560000	-11.740000	2.441200
