X[m]	Y[m]	Z[m]	WSS[Pa]
-4.461000	-28.422000	-6.422000	0.644549
-4.577000	-28.346000	-6.347000	0.744992
-4.481000	-28.282000	-6.452000	0.665606
-4.548000	-28.493000	-6.314000	0.712732
-4.420000	-28.559000	-6.393000	0.631265
-4.377000	-28.353000	-6.507000	0.601169
-4.507000	-28.634000	-6.278000	0.683724
-4.365000	-28.231000	-6.547000	0.593747
-4.328000	-28.474000	-6.497000	0.579420
-4.244000	-28.345000	-6.588000	0.499772
-4.374000	-28.692000	-6.350000	0.615890
-4.453000	-28.764000	-6.234000	0.672602
-4.627000	-28.564000	-6.190000	0.765604
-4.589000	-28.196000	-6.381000	0.783508
-4.481000	-28.143000	-6.485000	0.690866
-4.661000	-28.413000	-6.226000	0.809627
-4.730000	-28.482000	-6.092000	0.939242
-4.275000	-28.619000	-6.457000	0.573043
-4.183000	-28.520000	-6.560000	0.482343
-4.374000	-28.103000	-6.566000	0.628244
-4.239000	-28.150000	-6.636000	0.500744
-4.126000	-28.263000	-6.669000	0.403955
-4.086000	-28.410000	-6.649000	0.391674
-4.576000	-28.706000	-6.148000	0.725664
-4.688000	-28.632000	-6.047000	0.897621
-4.069000	-29.197000	-6.071000	0.541693
-4.219000	-29.201000	-5.983000	0.574939
-4.191000	-29.105000	-6.113000	0.593750
-4.082000	-29.299000	-5.920000	0.546265
-4.048000	-29.088000	-6.196000	0.543547
-4.164000	-29.014000	-6.217000	0.595081
-3.936000	-29.267000	-6.027000	0.503343
-4.331000	-28.803000	-6.295000	0.631530
-4.375000	-28.885000	-6.197000	0.665203
-4.221000	-28.898000	-6.288000	0.599698
-3.983000	-28.297000	-6.728000	0.283163
-4.291000	-28.997000	-6.159000	0.626799
-4.232000	-28.758000	-6.390000	0.580188
-4.509000	-28.843000	-6.109000	0.699851
-4.628000	-28.781000	-6.009000	0.835111
-4.111000	-28.684000	-6.505000	0.492423
-4.029000	-28.559000	-6.612000	0.392176
-3.918000	-29.167000	-6.154000	0.489930
-4.059000	-28.970000	-6.307000	0.551950
-4.333000	-29.089000	-6.030000	0.618432
-3.895000	-29.042000	-6.282000	0.507212
-4.325000	-27.986000	-6.611000	0.618556
-4.462000	-27.997000	-6.526000	0.704716
-4.134000	-29.364000	-5.763000	0.598279
-4.249000	-29.281000	-5.837000	0.604852
-4.271000	-29.339000	-5.682000	0.674045
-4.166000	-29.408000	-5.631000	0.645555
-4.058000	-28.120000	-6.726000	0.312030
-3.924000	-28.453000	-6.701000	0.287201
-3.932000	-29.340000	-5.914000	0.510466
-3.986000	-29.389000	-5.800000	0.547035
-3.890000	-28.180000	-6.786000	0.153177
-3.766000	-29.136000	-6.209000	0.471918
-4.795000	-28.539000	-5.934000	1.091090
-4.687000	-28.259000	-6.264000	0.859484
-4.766000	-28.325000	-6.131000	0.981797
-4.814000	-28.395000	-6.011000	1.068400
-4.582000	-28.042000	-6.422000	0.806287
-4.090000	-28.838000	-6.403000	0.536443
-4.428000	-28.970000	-6.072000	0.655439
-4.181000	-27.986000	-6.686000	0.470300
-3.932000	-28.909000	-6.395000	0.497813
-4.364000	-29.172000	-5.889000	0.654119
-4.386000	-29.242000	-5.735000	0.727885
-4.733000	-28.705000	-5.899000	0.998643
-4.558000	-28.923000	-5.974000	0.762581
-3.784000	-29.238000	-6.093000	0.448381
-3.800000	-29.326000	-5.967000	0.478859
-3.832000	-29.400000	-5.835000	0.494624
-3.964000	-28.673000	-6.570000	0.404548
-3.870000	-28.596000	-6.650000	0.306102
-3.803000	-28.339000	-6.778000	0.164727
-3.733000	-28.191000	-6.827000	0.062469
-3.916000	-28.020000	-6.790000	0.185070
-3.798000	-28.079000	-6.821000	0.072971
-4.826000	-28.635000	-5.780000	1.199670
-4.874000	-28.504000	-5.801000	1.298930
-4.880000	-28.386000	-5.886000	1.253810
-4.033000	-29.439000	-5.656000	0.585114
-3.738000	-29.047000	-6.302000	0.464847
-4.419000	-27.843000	-6.571000	0.743177
-4.676000	-27.383000	-6.386000	1.091280
-4.621000	-27.241000	-6.397000	1.206980
-4.560000	-27.336000	-6.463000	1.089140
-4.573000	-27.497000	-6.478000	0.999121
-4.648000	-27.634000	-6.422000	1.001460
-4.523000	-27.692000	-6.519000	0.871275
-4.683000	-27.136000	-6.315000	1.347270
-4.571000	-27.123000	-6.397000	1.312950
-4.265000	-29.407000	-5.527000	0.692286
-3.959000	-28.784000	-6.492000	0.453789
-4.468000	-29.052000	-5.932000	0.712078
-4.269000	-27.837000	-6.652000	0.648270
-3.776000	-28.956000	-6.387000	0.441271
-4.349000	-27.687000	-6.618000	0.783796
-4.416000	-27.528000	-6.577000	0.916038
-4.444000	-27.361000	-6.539000	1.044330
-4.667000	-28.856000	-5.862000	0.894585
-4.767000	-28.784000	-5.744000	1.082600
-4.475000	-27.196000	-6.481000	1.183440
-3.878000	-29.457000	-5.692000	0.525574
-3.622000	-28.997000	-6.369000	0.377402
-3.615000	-29.096000	-6.257000	0.407896
-3.629000	-29.198000	-6.144000	0.406464
-3.649000	-29.297000	-6.019000	0.421099
-4.494000	-29.127000	-5.782000	0.773248
-3.829000	-28.725000	-6.576000	0.338706
-3.679000	-29.383000	-5.884000	0.441853
-4.393000	-29.310000	-5.575000	0.759090
-4.112000	-29.469000	-5.514000	0.643918
-4.386000	-29.387000	-5.410000	0.743362
-4.226000	-29.487000	-5.364000	0.660328
-4.038000	-27.936000	-6.751000	0.341964
-4.916000	-28.550000	-5.663000	1.367410
-4.947000	-28.401000	-5.728000	1.412370
-3.756000	-28.505000	-6.725000	0.211895
-3.661000	-28.054000	-6.843000	0.072799
-3.770000	-27.944000	-6.828000	0.158235
-3.651000	-28.290000	-6.814000	0.095605
-4.601000	-27.013000	-6.336000	1.408710
-4.559000	-27.879000	-6.471000	0.841276
-4.691000	-28.100000	-6.302000	0.916246
-4.787000	-28.164000	-6.165000	1.050840
-4.869000	-28.237000	-6.001000	1.199430
-4.951000	-28.252000	-5.822000	1.433910
-4.659000	-27.778000	-6.397000	0.961087
-4.719000	-27.528000	-6.357000	1.089230
-4.745000	-27.270000	-6.299000	1.251180
-5.019000	-28.276000	-5.655000	1.559510
-4.725000	-27.020000	-6.234000	1.536450
-3.804000	-28.843000	-6.485000	0.387192
-4.590000	-28.998000	-5.824000	0.820682
-4.141000	-27.842000	-6.713000	0.513335
-4.173000	-27.687000	-6.698000	0.679272
-4.258000	-27.538000	-6.652000	0.820721
-3.933000	-29.510000	-5.529000	0.567533
-4.046000	-29.535000	-5.387000	0.598696
-4.475000	-27.031000	-6.431000	1.351780
-4.509000	-29.197000	-5.624000	0.821139
-4.515000	-29.269000	-5.463000	0.834387
-4.860000	-28.704000	-5.626000	1.252050
-3.717000	-29.454000	-5.740000	0.454369
-3.893000	-27.853000	-6.796000	0.312881
-3.610000	-27.907000	-6.850000	0.254201
-3.728000	-27.778000	-6.829000	0.395148
-3.648000	-28.891000	-6.473000	0.320243
-3.521000	-29.351000	-5.933000	0.385526
-3.489000	-29.251000	-6.069000	0.359850
-3.474000	-29.145000	-6.197000	0.334201
-3.477000	-29.037000	-6.321000	0.308952
-3.629000	-28.415000	-6.779000	0.136210
-4.697000	-28.931000	-5.706000	0.963857
-5.008000	-28.436000	-5.551000	1.487920
-3.711000	-28.648000	-6.658000	0.239239
-3.587000	-28.559000	-6.725000	0.167008
-4.299000	-27.382000	-6.615000	0.971341
-4.327000	-27.221000	-6.571000	1.103220
-3.569000	-28.175000	-6.841000	0.031832
