X[m]	Y[m]	Z[m]	WSS[Pa]
0.918000	-20.699000	-7.142000	0.671492
1.008000	-20.779000	-7.158000	0.597292
0.900000	-20.835000	-7.188000	0.600049
0.772000	-20.741000	-7.170000	0.699137
0.821000	-20.606000	-7.113000	0.768588
1.064000	-20.671000	-7.110000	0.642799
0.956000	-20.576000	-7.082000	0.735976
1.126000	-20.801000	-7.144000	0.576717
1.030000	-20.898000	-7.186000	0.537045
1.078000	-20.542000	-7.043000	0.722940
1.162000	-20.610000	-7.059000	0.671047
0.682000	-20.622000	-7.126000	0.821045
0.735000	-20.511000	-7.071000	0.851026
0.778000	-20.894000	-7.211000	0.626670
0.601000	-20.517000	-7.077000	0.890200
1.197000	-20.518000	-6.999000	0.717675
1.203000	-20.710000	-7.092000	0.621502
1.271000	-20.616000	-7.030000	0.676618
0.674000	-20.828000	-7.197000	0.701739
0.615000	-20.731000	-7.165000	0.789414
0.537000	-20.626000	-7.124000	0.874461
0.862000	-20.487000	-7.046000	0.824835
0.987000	-20.458000	-7.009000	0.809759
1.111000	-20.433000	-6.966000	0.794713
0.907000	-20.994000	-7.220000	0.528412
1.173000	-20.930000	-7.167000	0.507230
0.746000	-21.030000	-7.232000	0.592766
0.662000	-20.431000	-7.029000	0.908932
1.317000	-20.518000	-6.953000	0.745086
1.261000	-20.830000	-7.118000	0.584750
1.332000	-20.728000	-7.057000	0.637842
1.389000	-20.625000	-6.985000	0.724431
0.642000	-20.939000	-7.219000	0.680016
0.550000	-20.845000	-7.195000	0.771910
0.471000	-20.742000	-7.159000	0.859142
1.235000	-20.420000	-6.918000	0.794598
1.072000	-21.031000	-7.203000	0.461409
0.837000	-21.138000	-7.239000	0.504947
0.982000	-21.142000	-7.227000	0.421832
0.772000	-20.403000	-7.004000	0.905918
0.894000	-20.375000	-6.968000	0.890835
1.018000	-20.350000	-6.926000	0.874371
0.464000	-20.519000	-7.069000	0.963217
0.542000	-20.400000	-7.009000	0.985826
0.407000	-20.425000	-7.015000	1.044150
2.378000	-21.323000	-6.399000	0.739917
2.417000	-21.413000	-6.346000	0.681100
2.351000	-21.426000	-6.450000	0.730858
2.313000	-21.306000	-6.491000	0.794889
2.357000	-21.208000	-6.407000	0.774453
1.434000	-20.527000	-6.897000	0.807475
1.505000	-20.636000	-6.928000	0.786887
1.548000	-20.544000	-6.834000	0.900554
1.616000	-20.651000	-6.864000	0.890424
1.573000	-20.746000	-6.949000	0.771216
1.672000	-20.750000	-6.886000	0.868110
1.727000	-20.685000	-6.805000	0.952680
1.773000	-20.821000	-6.852000	0.915403
1.837000	-20.724000	-6.742000	1.010990
1.896000	-20.845000	-6.767000	1.005850
0.310000	-20.520000	-7.049000	1.052370
0.292000	-20.376000	-6.970000	1.145950
2.003000	-20.876000	-6.686000	1.011430
2.042000	-20.981000	-6.699000	0.999326
1.955000	-20.964000	-6.771000	1.013040
2.106000	-20.934000	-6.613000	0.967965
2.115000	-21.061000	-6.659000	0.955158
2.271000	-21.174000	-6.516000	0.848354
2.475000	-21.409000	-6.237000	0.617823
2.453000	-21.515000	-6.295000	0.602481
0.392000	-20.635000	-7.112000	0.947688
1.457000	-20.740000	-7.009000	0.692442
2.181000	-21.169000	-6.622000	0.912068
2.209000	-21.026000	-6.540000	0.903169
2.312000	-21.071000	-6.419000	0.817117
1.399000	-20.852000	-7.079000	0.610686
1.319000	-20.960000	-7.136000	0.521041
1.220000	-21.063000	-7.180000	0.444734
1.851000	-20.950000	-6.853000	0.934955
0.250000	-20.659000	-7.096000	1.027370
0.183000	-20.573000	-7.048000	1.104090
0.179000	-20.465000	-6.996000	1.163810
2.431000	-21.277000	-6.295000	0.697160
2.231000	-21.297000	-6.589000	0.871084
0.669000	-20.335000	-6.966000	0.965602
0.794000	-20.299000	-6.925000	0.964781
0.920000	-20.271000	-6.880000	0.953374
2.270000	-21.423000	-6.548000	0.822881
1.654000	-20.849000	-6.949000	0.786529
1.663000	-20.568000	-6.769000	0.963212
1.775000	-20.602000	-6.703000	1.018810
0.773000	-21.263000	-7.240000	0.491418
0.905000	-21.264000	-7.235000	0.406130
2.019000	-21.075000	-6.755000	0.992414
2.083000	-21.182000	-6.721000	0.965086
1.948000	-20.759000	-6.664000	1.024590
2.057000	-20.806000	-6.586000	0.993491
1.356000	-20.424000	-6.861000	0.853289
1.474000	-20.438000	-6.798000	0.938173
1.126000	-21.169000	-7.207000	0.384271
0.693000	-21.160000	-7.240000	0.575775
0.599000	-21.064000	-7.231000	0.670791
0.502000	-20.968000	-7.215000	0.750412
0.412000	-20.867000	-7.185000	0.837241
0.433000	-20.321000	-6.951000	1.084100
2.392000	-21.538000	-6.391000	0.645767
1.144000	-20.333000	-6.875000	0.866822
2.507000	-21.546000	-6.185000	0.521783
2.442000	-21.653000	-6.303000	0.546314
0.830000	-21.381000	-7.231000	0.398778
0.720000	-21.370000	-7.231000	0.479722
2.489000	-21.304000	-6.178000	0.633495
1.530000	-20.858000	-7.023000	0.685088
0.329000	-20.763000	-7.145000	0.927506
2.163000	-20.869000	-6.507000	0.938599
2.262000	-20.930000	-6.415000	0.860494
1.475000	-20.991000	-7.095000	0.576616
1.361000	-21.097000	-7.148000	0.491084
1.885000	-20.640000	-6.632000	1.028860
1.995000	-20.682000	-6.555000	1.016370
1.040000	-21.280000	-7.221000	0.350147
1.269000	-20.329000	-6.819000	0.891099
1.391000	-20.338000	-6.756000	0.943986
1.589000	-20.460000	-6.730000	0.992996
1.704000	-20.489000	-6.662000	1.047140
0.644000	-21.286000	-7.235000	0.563816
0.554000	-21.193000	-7.231000	0.659639
0.458000	-21.098000	-7.220000	0.747998
0.362000	-20.998000	-7.198000	0.817969
0.271000	-20.895000	-7.164000	0.914653
1.920000	-21.071000	-6.840000	0.943587
1.983000	-21.188000	-6.813000	0.952448
0.562000	-20.276000	-6.922000	1.052120
0.689000	-20.231000	-6.881000	1.032290
0.816000	-20.199000	-6.832000	1.031400
1.047000	-20.251000	-6.830000	0.940944
1.739000	-20.952000	-6.936000	0.821214
2.399000	-21.126000	-6.304000	0.732801
2.465000	-21.183000	-6.182000	0.675798
2.138000	-21.299000	-6.686000	0.918633
2.312000	-21.544000	-6.498000	0.735464
0.959000	-21.393000	-7.223000	0.310359
2.350000	-21.663000	-6.431000	0.633247
2.525000	-21.405000	-6.114000	0.558528
1.264000	-21.201000	-7.181000	0.419892
2.182000	-21.422000	-6.645000	0.884964
0.070000	-20.548000	-7.008000	1.195510
0.100000	-20.679000	-7.065000	1.104620
0.335000	-20.255000	-6.895000	1.185660
0.230000	-20.288000	-6.902000	1.195580
0.151000	-20.357000	-6.931000	1.200650
2.376000	-21.786000	-6.364000	0.534225
2.502000	-21.699000	-6.173000	0.458529
2.536000	-21.624000	-6.088000	0.452861
2.527000	-21.734000	-6.042000	0.441873
0.735000	-21.495000	-7.213000	0.410779
1.616000	-20.967000	-7.017000	0.698496
0.186000	-20.789000	-7.120000	1.010710
2.553000	-21.517000	-6.045000	0.485481
0.876000	-21.501000	-7.213000	0.306010
1.586000	-21.091000	-7.061000	0.651813
1.480000	-21.146000	-7.112000	0.565274
2.351000	-20.985000	-6.304000	0.775574
1.816000	-20.524000	-6.592000	1.049140
2.103000	-20.734000	-6.476000	0.973760
2.204000	-20.791000	-6.390000	0.894886
1.174000	-21.308000	-7.198000	0.362974
1.089000	-21.415000	-7.204000	0.291457
0.944000	-20.176000	-6.780000	1.028730
2.220000	-21.545000	-6.595000	0.832984
2.256000	-21.666000	-6.538000	0.733729
1.510000	-20.356000	-6.689000	0.993720
1.815000	-21.069000	-6.922000	0.847932
1.881000	-21.189000	-6.899000	0.882846
0.616000	-21.417000	-7.217000	0.531062
0.517000	-21.327000	-7.217000	0.643684
0.419000	-21.232000	-7.207000	0.740106
0.321000	-21.134000	-7.194000	0.820373
0.224000	-21.032000	-7.166000	0.905717
2.039000	-21.304000	-6.777000	0.945015
0.457000	-20.211000	-6.867000	1.154340
0.581000	-20.169000	-6.829000	1.122350
0.708000	-20.133000	-6.782000	1.097250
2.427000	-21.043000	-6.187000	0.708761
2.446000	-21.804000	-6.245000	0.467378
1.174000	-20.242000	-6.773000	0.951857
2.553000	-21.630000	-5.972000	0.466626
2.087000	-21.425000	-6.737000	0.902310
1.626000	-20.383000	-6.618000	1.049520
2.488000	-21.834000	-6.114000	0.428118
1.927000	-20.563000	-6.518000	1.029080
2.286000	-21.784000	-6.475000	0.627557
0.050000	-20.434000	-6.948000	1.225380
0.235000	-20.195000	-6.836000	1.206530
0.128000	-20.253000	-6.859000	1.231900
0.049000	-20.822000	-7.087000	1.108340
-0.016000	-20.734000	-7.044000	1.174880
-0.029000	-20.629000	-7.009000	1.204760
1.390000	-21.240000	-7.148000	0.507871
2.524000	-21.260000	-6.052000	0.592152
1.300000	-20.244000	-6.711000	0.963373
0.809000	-21.598000	-7.194000	0.316239
1.703000	-21.075000	-6.996000	0.743353
0.128000	-20.928000	-7.131000	0.991357
2.297000	-20.849000	-6.293000	0.817594
2.377000	-20.906000	-6.183000	0.741914
1.935000	-21.309000	-6.861000	0.934954
1.984000	-21.427000	-6.820000	0.943048
1.004000	-21.522000	-7.200000	0.239778
0.918000	-21.624000	-7.185000	0.227449
1.072000	-20.164000	-6.723000	1.033900
1.200000	-20.161000	-6.660000	1.028680
2.033000	-20.612000	-6.439000	1.003250
2.488000	-21.105000	-6.065000	0.637709
1.739000	-20.415000	-6.546000	1.056730
0.835000	-20.108000	-6.728000	1.103260
1.775000	-21.192000	-6.973000	0.781254
2.125000	-21.547000	-6.689000	0.877517
0.351000	-20.151000	-6.809000	1.217970
0.472000	-20.110000	-6.772000	1.213990
0.596000	-20.074000	-6.726000	1.187290
2.302000	-21.902000	-6.407000	0.532255
2.375000	-21.913000	-6.295000	0.473430
0.028000	-20.323000	-6.881000	1.256730
2.136000	-20.664000	-6.357000	0.930377
0.187000	-21.171000	-7.153000	0.909249
0.287000	-21.271000	-7.173000	0.819980
1.422000	-20.259000	-6.642000	1.006710
